Year,Month,Outage Hour,Week Day,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2016,10,11,6,10/7/2016,11:08:00 AM,10/7/2016,7:00:00 PM,7.87,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Unknown,Unknown
2016,10,13,2,10/10/2016,1:15:00 PM,10/10/2016,7:00:00 PM,5.75,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,Generation Inadequacy,Unknown,Unknown
2017,12,20,5,12/7/2017,8:00:00 PM,12/8/2017,5:00:00 PM,21,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,88000
2017,12,6,6,12/29/2017,6:15:00 AM,12/29/2017,11:44:00 AM,5.48,Texas: Calhoun County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Unknown,Unknown
2018,11,18,3,11/13/2018,6:19:00 PM,11/13/2018,7:40:00 PM,1.35,Arkansas: Oklahoma: Louisiana: Texas:,SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2018,12,3,2,12/3/2018,3:15:00 AM,12/3/2018,3:44:00 AM,0.48,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,16,Unknown
2018,12,9,3,12/11/2018,9:10:00 AM,12/11/2018,10:26:00 AM,1.27,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2018,12,8,6,12/14/2018,8:40:00 AM,12/14/2018,10:00:00 AM,1.33,Texas: Jasper County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2019,1,5,4,1/16/2019,5:19:00 AM,1/16/2019,7:14:00 AM,1.92,Texas: Nueces County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2019,2,9,3,2/19/2019,9:45:00 AM,Unknown,Unknown,N/A,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2019,3,15,4,3/13/2019,3:51:00 PM,3/16/2019,6:00:00 PM,74.15,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2019,3,5,4,3/13/2019,5:50:00 AM,3/13/2019,10:30:00 AM,4.67,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2019,3,15,4,3/13/2019,3:00:00 PM,3/14/2019,12:00:00 AM,9,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2019,4,13,1,4/7/2019,1:46:00 PM,4/8/2019,5:50:00 PM,28.07,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,537,231956
2019,4,18,7,4/13/2019,6:15:00 PM,4/13/2019,11:15:00 PM,5,Mississippi: Arkansas: Texas: Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,60467
2019,5,15,4,5/8/2019,3:50:00 PM,5/13/2019,12:00:00 AM,104.17,Louisiana: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,65844
2019,5,17,5,5/9/2019,5:55:00 PM,5/11/2019,8:50:00 PM,50.92,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,691,238015
2019,5,19,5,5/9/2019,7:06:00 PM,5/10/2019,2:57:00 AM,7.85,Texas: Harris County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0
2019,5,2,6,5/10/2019,2:00:00 AM,5/10/2019,12:15:00 PM,10.25,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,61008
2019,5,15,7,5/18/2019,3:45:00 PM,5/20/2019,4:00:00 AM,36.25,"Texas: Ector County, Midland County, Tarrant County, Dallas County, Stephens County, Anderson County, McLennan County, Ellis County, Hunt County, Young County, Bell County, Limestone County, Collin County, Rockwall County, Henderson County, Parker County, Falls County, Freestone County, Kaufman County, Grayson County, Smith County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68000
2019,6,18,5,6/6/2019,6:09:00 PM,6/6/2019,6:35:00 PM,0.43,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55017
2019,6,14,6,6/7/2019,2:43:00 PM,6/7/2019,4:20:00 PM,1.62,Texas: Pecos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,1
2019,6,15,7,6/8/2019,3:50:00 PM,6/8/2019,7:40:00 PM,3.83,Texas: Potter County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2019,6,14,1,6/9/2019,2:45:00 PM,6/13/2019,10:30:00 PM,103.75,"Texas: Collin County, Dallas County, Denton County, Palo Pinto County, Tarrant County, Ellis County, Williamson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,558000
2019,6,2,1,6/16/2019,2:00:00 AM,6/17/2019,11:59:00 PM,45.98,"Texas: Dallas County, Tarrant County, Collin County, Denton County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,340000
2019,6,22,1,6/23/2019,10:00:00 PM,6/25/2019,11:00:00 PM,49,"Texas: Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,265000
2019,7,1,3,7/9/2019,1:59:00 AM,7/9/2019,3:50:00 PM,13.85,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2019,7,12,4,7/10/2019,12:10:00 PM,7/12/2019,12:30:00 PM,48.33,"Texas: Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,57000
2019,7,11,5,7/11/2019,11:08:00 AM,7/11/2019,11:13:00 AM,0.08,Texas: Lynn County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,26,2043
2019,8,9,6,8/9/2019,9:53:00 AM,8/9/2019,10:46:00 AM,0.88,Texas: Travis County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2019,8,15,3,8/13/2019,3:10:00 PM,8/13/2019,5:30:00 PM,2.33,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2019,8,15,5,8/15/2019,3:11:00 PM,8/15/2019,6:00:00 PM,2.82,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2019,8,16,1,8/18/2019,4:47:00 PM,8/18/2019,11:00:00 PM,6.22,Texas:,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Distribution Interruption,752,86373
2019,8,16,1,8/18/2019,4:30:00 PM,8/18/2019,10:00:00 PM,5.5,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Transmission Interruption/Distribution Interruption,259,61000
2019,8,15,1,8/18/2019,3:59:00 PM,8/18/2019,11:00:00 PM,7.02,Louisiana: Texas:,SPP RE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Transmission Interruption,271,86373
2019,9,14,4,9/4/2019,2:30:00 PM,9/6/2019,6:00:00 PM,51.5,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2019,9,9,4,9/25/2019,9:59:00 AM,9/25/2019,10:00:00 AM,0.02,Texas:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown
2019,10,14,1,10/6/2019,2:50:00 PM,10/6/2019,3:00:00 PM,0.17,"Texas: Hidalgo County, Cameron County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown
2019,10,15,7,10/12/2019,3:00:00 PM,10/12/2019,4:21:00 PM,1.35,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2019,10,7,4,10/16/2019,7:00:00 AM,Unknown,Unknown,N/A,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2019,10,22,1,10/20/2019,10:15:00 PM,10/25/2019,2:00:00 AM,99.75,"Texas: Cass County, Cameron County, Collin County, Dallas County, Ellis County, Erath County, Hunt County, Kaufman County, Lamar County, Panola County, Rains County, Rockwall County, Rusk County, Tarrant County, Van Zandt County, Wood County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,400000
2019,11,6,7,11/16/2019,6:00:00 AM,11/16/2019,5:45:00 PM,11.75,Texas: New York: Dutchess County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2019,11,0,6,11/29/2019,12:00:00 AM,12/1/2019,12:00:00 AM,48,Texas: Dawson County;,TRE,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Actual Physical Attack,0,0
2019,12,13,1,12/8/2019,1:40:00 PM,12/8/2019,1:41:00 PM,0.02,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2019,12,23,2,12/16/2019,11:55:00 PM,12/17/2019,1:47:00 AM,1.87,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2019,12,14,4,12/18/2019,2:30:00 PM,12/18/2019,3:25:00 PM,0.92,Texas: Nueces County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2019,12,11,3,12/31/2019,11:03:00 AM,1/1/2020,10:59:00 AM,23.93,Texas: Nueces County;,TRE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Transmission Interruption,25,0
2020,1,3,7,1/11/2020,3:30:00 AM,1/11/2020,5:30:00 PM,14,Arkansas: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68138
2020,1,11,1,1/12/2020,11:15:00 AM,1/12/2020,11:18:00 AM,0.05,Texas: Brazos County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,1,11,5,1/16/2020,11:06:00 AM,1/16/2020,11:36:00 AM,0.5,Texas: Harris County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,2,2,3,2/11/2020,2:53:00 AM,2/11/2020,1:30:00 PM,10.62,Texas: Sterling County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability.,System Operations,0,0
2020,3,22,1,3/8/2020,10:10:00 PM,3/9/2020,1:02:00 AM,2.87,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,4,18,5,4/2/2020,6:41:00 PM,4/2/2020,7:23:00 PM,0.7,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,4,2,1,4/5/2020,2:30:00 AM,4/5/2020,3:01:00 AM,0.52,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,4,19,5,4/9/2020,7:25:00 PM,4/10/2020,3:30:00 AM,8.08,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95000
2020,4,18,1,4/12/2020,6:13:00 PM,4/13/2020,3:23:00 PM,21.17,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,63289
2020,4,20,3,4/28/2020,8:01:00 PM,4/28/2020,11:21:00 PM,3.33,Texas: Jefferson County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,14,1
2020,4,5,4,4/29/2020,5:55:00 AM,4/29/2020,7:00:00 PM,13.08,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,146660
2020,5,0,7,5/16/2020,12:00:00 AM,5/16/2020,12:30:00 AM,0.5,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,5,10,2,5/25/2020,10:58:00 AM,5/25/2020,1:00:00 PM,2.03,Texas: Kerr County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,3745
2020,5,17,4,5/27/2020,5:15:00 PM,5/29/2020,6:30:00 AM,37.25,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,382000
2020,5,17,4,5/27/2020,5:20:00 PM,Unknown,Unknown,N/A,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,273269
2020,5,22,7,5/30/2020,10:20:00 PM,5/30/2020,11:00:00 PM,0.67,Texas: Bexar County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,6,12,6,6/26/2020,12:47:00 PM,6/26/2020,1:53:00 PM,1.1,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,7,22,4,7/8/2020,10:04:00 PM,Unknown,Unknown,N/A,Texas:,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,0
2020,7,4,1,7/12/2020,4:30:00 AM,7/13/2020,5:00:00 AM,24.5,"Texas: Collin County, Dallas County, Denton County, Rockwall County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,48000
2020,7,0,2,7/20/2020,12:57:00 AM,7/20/2020,2:34:00 AM,1.62,Texas: Travis County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,21,14096
2020,7,21,7,7/25/2020,9:00:00 PM,7/26/2020,4:00:00 PM,19,"Texas: Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,125,84000
2020,7,19,7,7/25/2020,7:58:00 PM,7/27/2020,7:00:00 PM,47.03,"Texas: Nueces County, Kleberg County, Cameron County, Willacy County, Hidalgo County, Starr County, Kenedy County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,201208
2020,8,11,7,8/1/2020,11:14:00 AM,8/10/2020,9:26:00 PM,226.2,"Texas: Cameron County, Willacy County, Hidalgo County, Starr County;",TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2020,8,0,7,8/1/2020,12:00:00 AM,8/1/2020,12:01:00 AM,0.02,"Texas: Cameron County, Hidalgo County, Starr County, Willacy County;",TRE,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Severe Weather,Unknown,Unknown
2020,8,8,2,8/3/2020,8:00:00 AM,8/3/2020,1:00:00 PM,5,Texas: Ector County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,8,17,4,8/5/2020,5:58:00 PM,8/5/2020,8:53:00 PM,2.92,Texas: Orange County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,89,19785
2020,8,13,5,8/13/2020,1:51:00 PM,8/13/2020,4:27:00 PM,2.6,Texas: El Paso County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,218,57060
2020,8,20,1,8/16/2020,8:00:00 PM,8/18/2020,9:00:00 PM,49,"Texas: Collin County, Dallas County, Denton County, Tarrant County, Ellis County, Kaufman County, Johnson County, Anderson County, Angelina County, Grayson County, Smith County, Wichita County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,300000
2020,8,14,3,8/18/2020,2:44:00 PM,8/18/2020,3:14:00 PM,0.5,"Texas: Culberson County, Reeves County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,205,238
2020,8,10,1,8/23/2020,10:30:00 AM,Unknown,Unknown,N/A,"Texas panhandle, SE NM",TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2020,8,23,2,8/24/2020,11:00:00 PM,8/24/2020,11:59:00 PM,0.98,Texas: Denton County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Potential Physical Attack,0,0
2020,8,12,5,8/27/2020,12:44:00 PM,8/27/2020,11:00:00 PM,10.27,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
2020,8,12,5,8/27/2020,12:06:00 PM,8/27/2020,10:49:00 PM,10.72,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,581,Unknown
2020,8,7,5,8/27/2020,7:40:00 AM,8/31/2020,7:40:00 AM,96,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,130000
2020,8,1,5,8/27/2020,1:15:00 AM,Unknown,Unknown,N/A,Texas: Louisiana:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,615992
2020,8,7,5,8/27/2020,7:40:00 AM,8/31/2020,3:33:00 AM,91.88,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,47927
2020,8,12,5,8/27/2020,12:02:00 PM,8/27/2020,10:54:00 PM,10.87,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,573,Unknown
2020,8,13,5,8/27/2020,1:24:00 PM,Unknown,Unknown,N/A,"Texas: Montgomery County, Liberty County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,208,Unknown
2020,8,12,5,8/27/2020,12:06:00 PM,Unknown,Unknown,N/A,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,350,Unknown
2020,8,3,7,8/29/2020,3:35:00 AM,8/29/2020,5:45:00 AM,2.17,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,Unknown,Unknown
2020,10,17,6,10/9/2020,5:30:00 PM,10/10/2020,6:00:00 PM,24.5,Louisiana: Texas: Arkansas: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,477966
2020,10,18,4,10/14/2020,6:26:00 PM,10/15/2020,1:11:00 PM,18.75,Texas: Pecos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,18,Unknown
2020,10,15,6,10/23/2020,3:46:00 PM,10/23/2020,11:03:00 PM,7.28,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55506
2020,10,11,4,10/28/2020,11:53:00 AM,10/28/2020,3:26:00 PM,3.55,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown
2020,10,10,4,10/28/2020,10:28:00 AM,10/28/2020,10:29:00 AM,0.02,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,Unknown,Unknown
2020,11,9,6,11/20/2020,9:10:00 AM,11/20/2020,9:22:00 AM,0.2,Texas: Kentucky: Arizona: New Mexico: Oregon: Washington:,TRE,Cyber event that causes interruptions of electrical system operations.,System Operations,0,Unknown
2020,11,14,2,11/30/2020,2:33:00 PM,11/30/2020,5:20:00 PM,2.78,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2020,12,22,6,12/11/2020,10:51:00 PM,12/11/2020,11:57:00 PM,1.1,Texas: Harris County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2021,12,20,1,12/19/2021,8:48:00 PM,12/19/2021,9:00:00 PM,0.2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2021,12,21,3,12/21/2021,9:59:00 PM,12/22/2021,2:15:00 PM,16.27,Texas: Cameron County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,22,Unknown
2021,12,0,6,12/24/2021,12:34:00 AM,12/24/2021,6:40:00 AM,6.1,Texas: Rusk County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Unknown,Unknown
2022,6,2,5,6/9/2022,2:33:00 AM,6/9/2022,6:49:00 AM,4.27,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
2022,6,12,6,6/10/2022,12:08:00 PM,6/10/2022,9:30:00 PM,9.37,Texas: El Paso County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Actual Physical Attack/Vandalism,0,0
2022,6,14,2,6/27/2022,2:26:00 PM,6/28/2022,3:56:00 AM,13.5,Texas: Victoria County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,14,2491
2022,6,6,2,6/27/2022,6:21:00 AM,6/27/2022,7:26:00 AM,1.08,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2022,6,9,3,6/28/2022,9:27:00 AM,6/28/2022,10:42:00 AM,1.25,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2022,7,21,1,7/10/2022,9:00:00 PM,7/11/2022,8:00:00 PM,23,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,Unknown
2022,7,11,4,7/13/2022,11:30:00 AM,7/13/2022,9:00:00 PM,9.5,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,Unknown
2022,7,6,3,7/26/2022,6:38:00 AM,7/26/2022,12:57:00 PM,6.32,Texas: Hays County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
2022,8,2,4,8/3/2022,2:00:00 AM,8/3/2022,3:07:00 AM,1.12,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,8,19,4,8/10/2022,7:56:00 PM,8/11/2022,8:00:00 PM,24.07,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,140464
2022,8,12,2,8/22/2022,12:46:00 PM,8/22/2022,1:09:00 PM,0.38,Texas: DeWitt County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,24,6385
2022,8,20,2,8/22/2022,8:40:00 PM,8/22/2022,9:57:00 PM,1.28,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,0,0
2022,8,10,2,8/29/2022,10:45:00 AM,8/29/2022,11:45:00 AM,1,Texas: Collin County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,9,16,1,9/4/2022,4:00:00 PM,9/6/2022,8:00:00 AM,40,"Texas: Tarrant County, Collin County, Dallas County, Ellis County, Kaufman County, Rockwall County, Williamson County, Denton County, Archer County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,190000
2022,9,6,3,9/6/2022,6:00:00 AM,9/6/2022,6:22:00 AM,0.37,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2022,9,18,1,9/11/2022,6:19:00 PM,9/11/2022,10:28:00 PM,4.15,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
