OBS,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.HOUR,OUTAGE.START.DATE,Week Day,Month Day,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION.MIN,OUTAGE.DURATION.HOUR,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND
1,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,17,"Friday, July 1, 2011",6, July 1,5:00:00 PM,"Sunday, July 3, 2011",8:00:00 PM,severe weather,NA,NA,3060,51,NA,70000,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.54907261,32.22502941,32.20243138,2308736,276286,10673,2595696,88.9448,10.644,0.4112,51268,47586,1.077375699,1.6,4802,274182,1.751391412,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
2,2014,5,Minnesota,MN,MRO,East North Central,-0.1,normal,18,"Sunday, May 11, 2014",1, May 11,6:38:00 PM,"Sunday, May 11, 2014",6:39:00 PM,intentional attack,vandalism,NA,1,0.016666667,NA,NA,12.12,9.71,6.49,9.28,1586986,1807756,1887927,5284231,30.03248722,34.21038936,35.72756376,2345860,284978,9898,2640737,88.8335,10.7916,0.3748,53499,49091,1.089792426,1.9,5226,291955,1.790001884,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
3,2010,10,Minnesota,MN,MRO,East North Central,-1.5,cold,20,"Tuesday, October 26, 2010",3, October 26,8:00:00 PM,"Thursday, October 28, 2010",10:00:00 PM,severe weather,heavy wind,NA,3000,50,NA,70000,10.87,8.19,6.07,8.15,1467293,1801683,1951295,5222116,28.09767152,34.50101453,37.36598344,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
4,2012,6,Minnesota,MN,MRO,East North Central,-0.1,normal,4,"Tuesday, June 19, 2012",3, June 19,4:30:00 AM,"Wednesday, June 20, 2012",11:00:00 PM,severe weather,thunderstorm,NA,2550,42.5,NA,68200,11.79,9.25,6.71,9.19,1851519,1941174,1993026,5787064,31.99409925,33.54333043,34.43932882,2317336,278466,11010,2606813,88.8954,10.6822,0.4224,51598,48156,1.071476036,0.6,5364,277627,1.932088738,2.2,5380443,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
5,2015,7,Minnesota,MN,MRO,East North Central,1.2,warm,2,"Saturday, July 18, 2015",7, July 18,2:00:00 AM,"Sunday, July 19, 2015",7:00:00 AM,severe weather,NA,NA,1740,29,250,250000,13.07,10.16,7.74,10.43,2028875,2161612,1777937,5970339,33.9825762,36.20585029,29.77949828,2374674,289044,9812,2673531,88.8216,10.8113,0.367,54431,49844,1.092027125,1.7,4873,292023,1.668704177,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
6,2010,11,Minnesota,MN,MRO,East North Central,-1.4,cold,15,"Saturday, November 13, 2010",7, November 13,3:00:00 PM,"Sunday, November 14, 2010",10:00:00 PM,severe weather,winter storm,NA,1860,31,NA,60000,10.63,8.34,6.15,8.28,1676347,1786144,1909874,5374150,31.19278398,33.23584195,35.53815952,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
7,2010,7,Minnesota,MN,MRO,East North Central,-0.9,cold,20,"Saturday, July 17, 2010",7, July 17,8:30:00 PM,"Monday, July 19, 2010",10:00:00 PM,severe weather,tornadoes,NA,2970,49.5,NA,63000,11.41,9.11,6.71,9.12,2187537,2100828,2084709,6374935,34.31465576,32.95450071,32.70165108,2300291,276463,10150,2586905,88.9206,10.687,0.3924,50447,47287,1.066825978,2.7,4571,267895,1.706265514,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
8,2005,6,Minnesota,MN,MRO,East North Central,0.2,normal,4,"Wednesday, June 8, 2005",4, June 8,4:00:00 AM,"Friday, June 10, 2005",10:00:00 PM,severe weather,thunderstorm,NA,3960,66,75,3.00E+05,9.1,7.22,5.69,7.36,1883344,1935444,1786652,5607498,33.58617337,34.5152865,31.86183927,2211000,255645,8266,2474912,89.3365,10.3295,0.334,52445,48090,1.090559368,2,3997,268496,1.488662773,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
9,2015,3,Minnesota,MN,MRO,East North Central,0.6,warm,7,"Monday, March 16, 2015",2, March 16,7:31:00 AM,"Monday, March 16, 2015",10:06:00 AM,intentional attack,sabotage,NA,155,2.583333333,20,5941,11.53,8.89,6.61,9.03,1844298,1956866,1795865,5599486,32.936916,34.94724337,32.07196161,2374674,289044,9812,2673531,88.8216,10.8113,0.367,54431,49844,1.092027125,1.7,4873,292023,1.668704177,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
10,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,17,"Friday, June 21, 2013",6, June 21,5:39:00 PM,"Monday, June 24, 2013",6:00:00 AM,severe weather,hailstorm,NA,3621,60.35,NA,4.00E+05,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.75455262,34.51514043,34.7022956,2329734,281187,11383,2622305,88.843,10.7229,0.4341,52479,48396,1.084366477,1.7,5613,284542,1.972643757,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
11,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,3,"Friday, June 21, 2013",6, June 21,3:00:00 AM,"Wednesday, June 26, 2013",12:00:00 PM,severe weather,hailstorm,NA,7740,129,NA,193000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.75455262,34.51514043,34.7022956,2329734,281187,11383,2622305,88.843,10.7229,0.4341,52479,48396,1.084366477,1.7,5613,284542,1.972643757,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
12,2005,9,Minnesota,MN,MRO,East North Central,0,normal,19,"Wednesday, September 21, 2005",4, September 21,7:00:00 PM,"Tuesday, September 27, 2005",11:00:00 PM,severe weather,tornadoes,NA,8880,148,NA,2.00E+05,8.76,7.58,4.94,7.03,1720089,1884242,1928620,5535009,31.07653483,34.0422572,34.84402645,2211000,255645,8266,2474912,89.3365,10.3295,0.334,52445,48090,1.090559368,2,3997,268496,1.488662773,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
13,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,10,"Friday, July 8, 2011",6, July 8,10:00:00 AM,"Friday, July 8, 2011",10:00:00 AM,intentional attack,vandalism,NA,0,0,0,0,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.54907261,32.22502941,32.20243138,2308736,276286,10673,2595696,88.9448,10.644,0.4112,51268,47586,1.077375699,1.6,4802,274182,1.751391412,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
14,2011,5,Minnesota,MN,MRO,East North Central,-0.4,normal,15,"Wednesday, May 11, 2011",4, May 11,3:55:00 PM,"Thursday, May 12, 2011",1:57:00 PM,intentional attack,vandalism,NA,1322,22.03333333,0,0,11.23,8.91,6.46,8.7,1568544,1770802,1921812,5262668,29.80511026,33.64836999,36.51782708,2308736,276286,10673,2595696,88.9448,10.644,0.4112,51268,47586,1.077375699,1.6,4802,274182,1.751391412,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
15,2014,6,Minnesota,MN,MRO,East North Central,0,normal,0,"Sunday, June 15, 2014",1, June 15,12:00:00 AM,"Sunday, June 15, 2014",1:00:00 AM,severe weather,thunderstorm,NA,60,1,NA,55951,12.73,10.53,6.97,10.02,1753319,1935822,1883117,5574073,31.45489842,34.72903925,33.78350086,2345860,284978,9898,2640737,88.8335,10.7916,0.3748,53499,49091,1.089792426,1.9,5226,291955,1.790001884,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.59266587,8.407334131,5.478742983
16,2015,6,Tennessee,TN,SERC,Central,1,warm,13,"Sunday, June 7, 2015",1, June 7,1:54:00 PM,"Sunday, June 7, 2015",2:13:00 PM,system operability disruption,uncontrolled loss,NA,19,0.316666667,926,NA,10.43,10.36,6.81,9.59,3400800,2993975,1864031,8258806,41.17786518,36.25191099,22.57022383,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
17,2012,8,Tennessee,TN,SERC,Central,0.3,normal,13,"Monday, August 13, 2012",2, August 13,1:15:00 PM,"Monday, August 13, 2012",1:15:00 PM,intentional attack,vandalism,NA,0,0,NA,NA,10,10.21,7.75,9.47,4401454,2833658,2556236,9791474,44.95190407,28.9400554,26.10675369,2721099,466513,1957,3189570,85.3124,14.6262,0.0614,41469,48156,0.861138799,2.5,1819,267689,0.679519891,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
18,2015,6,Tennessee,TN,SERC,Central,1,warm,13,"Sunday, June 7, 2015",1, June 7,1:52:00 PM,"Sunday, June 7, 2015",2:13:00 PM,system operability disruption,uncontrolled loss,NA,21,0.35,NA,NA,10.43,10.36,6.81,9.59,3400800,2993975,1864031,8258806,41.17786518,36.25191099,22.57022383,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
19,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,22,"Tuesday, April 19, 2011",3, April 19,10:44:00 PM,"Wednesday, April 20, 2011",2:00:00 AM,severe weather,NA,NA,196,3.266666667,100,64000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
20,2008,2,Tennessee,TN,SERC,Central,-1.3,cold,9,"Wednesday, February 6, 2008",4, February 6,9:00:00 AM,"Wednesday, February 6, 2008",11:00:00 PM,severe weather,NA,NA,840,14,NA,57000,7.81,8.3,5.43,7.23,4104225,2351868,2688165,9144470,44.88204346,25.71901925,29.39661894,2685425,460419,2094,3147939,85.3074,14.626,0.0665,41201,48401,0.851242743,-0.1,1764,257402,0.68530936,0.5,6247411,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
21,2015,1,Tennessee,TN,SERC,Central,0.6,warm,17,"Wednesday, January 7, 2015",4, January 7,5:00:00 PM,"Thursday, January 8, 2015",8:35:00 AM,severe weather,winter,NA,935,15.58333333,NA,NA,9.96,10.1,5.94,9.18,4349520,2737860,1839206,8926587,48.72545352,30.67084878,20.60368649,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
22,2012,7,Tennessee,TN,SERC,Central,0.1,normal,19,"Thursday, July 5, 2012",5, July 5,7:00:00 PM,"Friday, July 6, 2012",4:00:00 PM,severe weather,wind storm,NA,1260,21,NA,50001,10.14,10.48,7.94,9.67,4522619,2835322,2519139,9877219,45.78838436,28.7056711,25.50453726,2721099,466513,1957,3189570,85.3124,14.6262,0.0614,41469,48156,0.861138799,2.5,1819,267689,0.679519891,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
23,2015,7,Tennessee,TN,SERC,Central,1.2,warm,13,"Thursday, July 30, 2015",5, July 30,1:00:00 PM,NA,NA,intentional attack,vandalism,NA,NA,NA,0,0,10.31,10.27,7.31,9.7,4285049,3322562,1891937,9499547,45.10792988,34.97600465,19.916076,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
24,2013,4,Tennessee,TN,SERC,Central,-0.2,normal,2,"Sunday, April 21, 2013",1, April 21,2:11:00 AM,"Sunday, April 21, 2013",12:30:00 PM,intentional attack,NA,NA,619,10.31666667,NA,NA,9.82,9.85,5.64,8.78,3067553,2599461,1916818,7583977,40.44781518,34.2756973,25.2745756,2738547,469382,1191,3209121,85.3364,14.6265,0.0371,41642,48396,0.860443012,0.4,1827,270562,0.675261123,0.4,6496130,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
25,2014,1,Tennessee,TN,SERC,Central,-0.5,cold,6,"Tuesday, January 7, 2014",3, January 7,6:00:00 AM,"Tuesday, January 7, 2014",8:30:00 AM,severe weather,winter,NA,150,2.5,NA,NA,9.73,10.02,6.27,9.13,4795011,2841462,1912538,9549176,50.21387186,29.75609623,20.02830401,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
26,2009,7,Tennessee,TN,SERC,Central,0.5,warm,5,"Monday, July 27, 2009",2, July 27,5:05:00 AM,"Monday, July 27, 2009",5:47:00 PM,equipment failure,computer hardware,NA,762,12.7,NA,NA,9.07,9.39,6.69,8.59,4082451,2700144,2167606,8950358,45.61215317,30.16799998,24.21809273,2693821,458054,2040,3153916,85.4119,14.5233,0.0647,39220,46680,0.840188518,-4.8,1598,247321,0.646123863,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
27,2011,6,Tennessee,TN,SERC,Central,-0.3,normal,9,"Wednesday, June 22, 2011",4, June 22,9:46:00 AM,"Wednesday, June 22, 2011",9:46:00 AM,severe weather,NA,NA,0,0,NA,106300,9.98,10.29,7.71,9.47,3715752,2636536,2311892,8664304,42.88575285,30.42986488,26.68295111,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
28,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,13,"Monday, April 4, 2011",2, April 4,1:00:00 PM,"Tuesday, April 5, 2011",12:00:00 AM,severe weather,NA,NA,660,11,300,63000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
29,2014,6,Tennessee,TN,SERC,Central,0,normal,13,"Thursday, June 5, 2014",5, June 5,1:06:00 PM,"Thursday, June 5, 2014",1:07:00 PM,severe weather,thunderstorm,NA,1,0.016666667,NA,56475,10.85,10.79,7.21,9.93,3362567,2962880,2079166,8404698,40.00818352,35.25266464,24.7381405,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
30,2012,6,Tennessee,TN,SERC,Central,-0.1,normal,15,"Saturday, June 30, 2012",7, June 30,3:00:00 PM,"Monday, July 2, 2012",12:00:00 PM,public appeal,NA,NA,2700,45,NA,NA,10.24,10.47,7.63,9.55,3426874,2521819,2446188,8395017,40.82033425,30.03947461,29.13857113,2721099,466513,1957,3189570,85.3124,14.6262,0.0614,41469,48156,0.861138799,2.5,1819,267689,0.679519891,0.4,6455469,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
31,2014,6,Tennessee,TN,SERC,Central,0,normal,8,"Thursday, June 19, 2014",5, June 19,8:47:00 AM,"Thursday, June 19, 2014",8:48:00 AM,intentional attack,vandalism,NA,1,0.016666667,NA,NA,10.85,10.79,7.21,9.93,3362567,2962880,2079166,8404698,40.00818352,35.25266464,24.7381405,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
32,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,14,"Monday, April 4, 2011",2, April 4,2:00:00 PM,"Friday, April 8, 2011",12:01:00 AM,severe weather,NA,NA,4921,82.01666667,300,73000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
33,2015,5,Tennessee,TN,SERC,Central,0.8,warm,22,"Saturday, May 2, 2015",7, May 2,10:51:00 PM,"Sunday, May 3, 2015",12:26:00 AM,intentional attack,vandalism,NA,95,1.583333333,1,215,10.58,10.15,5.47,9.02,2520710,2612194,1930968,7063873,35.6845317,36.9796286,27.33582554,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
34,2015,2,Tennessee,TN,SERC,Central,0.5,warm,8,"Saturday, February 21, 2015",7, February 21,8:34:00 AM,"Saturday, February 21, 2015",12:45:00 PM,severe weather,winter,NA,251,4.183333333,NA,50000,9.85,10.08,6.14,9.2,4439168,2699413,1709771,8848352,50.16943268,30.50752276,19.32304456,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
35,2014,6,Tennessee,TN,SERC,Central,0,normal,3,"Thursday, June 5, 2014",5, June 5,3:00:00 AM,"Saturday, June 7, 2014",11:45:00 PM,severe weather,thunderstorm,NA,4125,68.75,494,38500,10.85,10.79,7.21,9.93,3362567,2962880,2079166,8404698,40.00818352,35.25266464,24.7381405,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
36,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,23,"Tuesday, April 19, 2011",3, April 19,11:02:00 PM,"Thursday, April 21, 2011",5:32:00 PM,severe weather,NA,NA,2550,42.5,300,105000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
37,2016,7,Tennessee,TN,SERC,Central,-0.3,normal,15,"Wednesday, July 13, 2016",4, July 13,3:00:00 PM,NA,NA,system operability disruption,public appeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2812287,480032,1193,3293512,85.3887,14.5751,0.0362,43720,50660,0.863008291,3,1813,290712,0.623641267,0.5,6649404,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
38,2014,1,Tennessee,TN,SERC,Central,-0.5,cold,16,"Thursday, January 23, 2014",5, January 23,4:00:00 PM,"Friday, January 24, 2014",12:00:00 PM,severe weather,winter,NA,1200,20,NA,NA,9.73,10.02,6.27,9.13,4795011,2841462,1912538,9549176,50.21387186,29.75609623,20.02830401,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
39,2015,3,Tennessee,TN,SERC,Central,0.6,warm,9,"Wednesday, March 4, 2015",4, March 4,9:05:00 AM,"Wednesday, March 4, 2015",2:15:00 PM,intentional attack,vandalism,NA,310,5.166666667,NA,NA,9.79,10.03,5.82,9.03,4145396,2667288,1818519,8631202,48.02802669,30.90285687,21.06912803,2783058,476405,1245,3260708,85.3513,14.6105,0.0382,42457,49844,0.851797609,1.2,1692,282752,0.598404255,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
40,2013,1,Tennessee,TN,SERC,Central,-0.4,normal,19,"Thursday, January 17, 2013",5, January 17,7:02:00 PM,"Saturday, January 19, 2013",6:00:00 PM,severe weather,winter storm,NA,2818,46.96666667,NA,80000,9.98,10.22,6.27,9.23,4036964,2732219,1938626,8707973,46.3593996,31.37606191,22.26265516,2738547,469382,1191,3209121,85.3364,14.6265,0.0371,41642,48396,0.860443012,0.4,1827,270562,0.675261123,0.4,6496130,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
41,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,11,"Monday, April 4, 2011",2, April 4,11:47:00 AM,"Friday, April 8, 2011",12:01:00 AM,severe weather,NA,NA,5054,84.23333333,359,63000,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
42,2009,6,Tennessee,TN,SERC,Central,0.4,normal,16,"Friday, June 12, 2009",6, June 12,4:37:00 PM,"Friday, June 12, 2009",6:53:00 PM,severe weather,storm,NA,136,2.266666667,860,136000,9.47,9.64,7.05,8.87,3213878,2478499,2097910,7790440,41.25412685,31.81462151,26.92928769,2693821,458054,2040,3153916,85.4119,14.5233,0.0647,39220,46680,0.840188518,-4.8,1598,247321,0.646123863,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
43,2014,3,Tennessee,TN,SERC,Central,-0.4,normal,6,"Monday, March 3, 2014",2, March 3,6:40:00 AM,"Monday, March 3, 2014",3:28:00 PM,severe weather,wind storm,NA,528,8.8,NA,65904,10.57,10.86,6.41,9.65,3577786,2539592,1962495,8080023,44.27940366,31.43050459,24.28823532,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
44,2014,1,Tennessee,TN,SERC,Central,-0.5,cold,6,"Tuesday, January 7, 2014",3, January 7,6:00:00 AM,"Tuesday, January 7, 2014",8:30:00 AM,severe weather,winter,NA,150,2.5,NA,NA,9.73,10.02,6.27,9.13,4795011,2841462,1912538,9549176,50.21387186,29.75609623,20.02830401,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
45,2011,4,Tennessee,TN,SERC,Central,-0.5,cold,16,"Monday, April 25, 2011",2, April 25,4:33:00 PM,"Monday, April 25, 2011",5:19:00 PM,equipment failure,NA,NA,46,0.766666667,140,NA,9.98,10.1,6.48,8.91,2789635,2193662,2295490,7278927,38.32481079,30.1371617,31.53610415,2708113,463992,2017,3174123,85.3185,14.618,0.0635,40465,47586,0.850355146,2,1798,258910,0.694449809,0.4,6398408,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
46,2014,6,Tennessee,TN,SERC,Central,0,normal,14,"Tuesday, June 24, 2014",3, June 24,2:54:00 PM,"Tuesday, June 24, 2014",2:55:00 PM,intentional attack,vandalism,NA,1,0.016666667,NA,NA,10.85,10.79,7.21,9.93,3362567,2962880,2079166,8404698,40.00818352,35.25266464,24.7381405,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
47,2014,1,Tennessee,TN,SERC,Central,-0.5,cold,4,"Thursday, January 23, 2014",5, January 23,4:00:00 AM,"Friday, January 24, 2014",12:00:00 PM,severe weather,winter,NA,1920,32,NA,NA,9.73,10.02,6.27,9.13,4795011,2841462,1912538,9549176,50.21387186,29.75609623,20.02830401,2756932,471794,1271,3229998,85.354,14.6066,0.0393,41955,49091,0.854637306,0.8,1739,274775,0.632881448,0.4,6547779,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
48,2016,4,Tennessee,TN,SERC,Central,1.1,warm,13,"Wednesday, April 27, 2016",4, April 27,1:36:00 PM,NA,NA,intentional attack,vandalism,NA,NA,NA,0,0,10.22,9.64,5.39,8.8,2517024,2577433,1681946,6776403,37.14395381,38.03541495,24.82063124,2812287,480032,1193,3293512,85.3887,14.5751,0.0362,43720,50660,0.863008291,3,1813,290712,0.623641267,0.5,6649404,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
49,2009,1,Tennessee,TN,SERC,Central,-0.7,cold,21,"Tuesday, January 27, 2009",3, January 27,9:45:00 PM,"Tuesday, January 27, 2009",10:17:00 PM,severe weather,winter storm,NA,32,0.533333333,850,NA,9.59,10.13,7.27,9.16,4221811,2337297,2180140,8739380,48.30790056,26.74442581,24.94616323,2693821,458054,2040,3153916,85.4119,14.5233,0.0647,39220,46680,0.840188518,-4.8,1598,247321,0.646123863,0.5,6306019,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.84310934,2.156890661,2.156890661
